event_id,customer_id,campaign_type,campaign_name,event_timestamp,clicked_flag,converted_flag
2,19464,Push,Reactivation,2025-10-13T12:52:45.202Z,1,0
28,9623,SMS,Festive Sale,2026-02-19T12:52:45.202Z,1,0
29,32319,SMS,Loyalty Offer,2025-08-18T12:52:45.202Z,0,0
39,44552,Push,Festive Sale,2026-01-17T12:52:45.202Z,0,0
41,4830,SMS,Festive Sale,2025-06-04T12:52:45.202Z,0,0
44,24782,Push,Reactivation,2026-01-18T12:52:45.202Z,0,0
45,41710,Email,New Launch,2025-12-30T12:52:45.202Z,0,0
46,14371,Email,Reactivation,2025-10-01T12:52:45.202Z,0,0
52,34745,SMS,Festive Sale,2026-02-01T12:52:45.202Z,0,0
55,32299,Push,Loyalty Offer,2025-05-25T12:52:45.202Z,0,0
56,20368,Push,New Launch,2026-02-02T12:52:45.202Z,0,0
63,29191,Email,Reactivation,2025-05-28T12:52:45.202Z,0,0
64,8046,Email,Loyalty Offer,2025-10-23T12:52:45.202Z,0,0
80,44019,SMS,Festive Sale,2025-07-02T12:52:45.202Z,0,0
85,35207,SMS,Festive Sale,2025-05-01T12:52:45.202Z,0,0
88,33622,SMS,New Launch,2025-05-07T12:52:45.202Z,1,0
89,28923,Email,Reactivation,2025-06-18T12:52:45.202Z,0,0
90,23055,SMS,New Launch,2025-07-03T12:52:45.202Z,0,0
100,5317,Push,Reactivation,2026-01-23T12:52:45.202Z,1,1
103,4302,SMS,Festive Sale,2025-08-09T12:52:45.202Z,0,0
110,35725,SMS,New Launch,2026-02-02T12:52:45.202Z,0,0
112,10417,Push,Festive Sale,2026-01-02T12:52:45.202Z,0,0
113,7289,SMS,New Launch,2025-03-18T12:52:45.202Z,1,0
126,35195,Push,Festive Sale,2025-11-01T12:52:45.202Z,0,0
131,18992,Email,New Launch,2026-01-15T12:52:45.202Z,0,0
134,37458,Push,New Launch,2025-04-16T12:52:45.202Z,0,0
174,38647,Push,Reactivation,2025-12-06T12:52:45.202Z,0,0
177,7533,SMS,New Launch,2025-03-25T12:52:45.202Z,0,0
185,48503,Email,Loyalty Offer,2025-10-27T12:52:45.202Z,0,0
195,36389,SMS,Reactivation,2025-12-19T12:52:45.202Z,0,0
204,30052,SMS,Festive Sale,2025-03-26T12:52:45.202Z,0,0
212,49067,SMS,New Launch,2026-02-19T12:52:45.202Z,1,0
218,6080,SMS,Loyalty Offer,2025-07-26T12:52:45.202Z,0,0
224,39413,Push,Loyalty Offer,2025-12-02T12:52:45.202Z,0,0
227,15821,Email,Festive Sale,2025-05-09T12:52:45.202Z,0,0
228,7116,Push,Loyalty Offer,2025-08-04T12:52:45.202Z,1,0
240,15310,Push,Loyalty Offer,2025-05-29T12:52:45.202Z,1,0
246,43066,Push,Loyalty Offer,2025-10-25T12:52:45.202Z,0,0
247,39110,Push,New Launch,2025-11-20T12:52:45.202Z,0,0
259,27145,Push,New Launch,2025-06-17T12:52:45.202Z,0,0
264,805,SMS,Reactivation,2025-03-26T12:52:45.202Z,0,0
280,48535,Email,Festive Sale,2025-12-16T12:52:45.202Z,0,1
284,49698,Push,Loyalty Offer,2026-02-27T12:52:45.202Z,1,1
285,22660,Email,Loyalty Offer,2025-07-29T12:52:45.202Z,1,0
286,39444,Push,Festive Sale,2026-01-13T12:52:45.202Z,0,0
292,31874,Email,Reactivation,2025-11-23T12:52:45.202Z,0,1
304,48144,SMS,Loyalty Offer,2025-10-05T12:52:45.202Z,0,0
314,4761,Push,Festive Sale,2025-03-13T12:52:45.202Z,0,0
315,10972,Email,Festive Sale,2025-07-18T12:52:45.202Z,0,0
320,26847,Push,Reactivation,2025-08-21T12:52:45.202Z,0,0
321,45639,Push,Loyalty Offer,2025-06-15T12:52:45.202Z,0,0
327,8446,SMS,Festive Sale,2025-03-01T12:52:45.202Z,0,0
344,6703,SMS,Loyalty Offer,2025-05-04T12:52:45.202Z,0,0
351,38680,SMS,Loyalty Offer,2025-04-13T12:52:45.202Z,0,0
357,47056,Push,Festive Sale,2025-12-15T12:52:45.202Z,0,0
365,38625,Email,Festive Sale,2025-04-19T12:52:45.202Z,0,0
378,6928,Email,Loyalty Offer,2025-06-11T12:52:45.202Z,0,0
379,35966,Push,Loyalty Offer,2025-10-19T12:52:45.202Z,0,0
380,33483,Email,Festive Sale,2025-03-16T12:52:45.202Z,0,0
385,23769,Email,Festive Sale,2025-03-31T12:52:45.202Z,0,0
392,12922,SMS,Loyalty Offer,2025-07-29T12:52:45.202Z,0,0
396,37951,Push,Reactivation,2025-07-26T12:52:45.202Z,0,0
403,6316,SMS,Festive Sale,2025-09-11T12:52:45.202Z,0,0
406,18106,SMS,Festive Sale,2025-07-19T12:52:45.202Z,0,0
412,23595,Email,Festive Sale,2025-06-02T12:52:45.202Z,0,0
421,32222,SMS,Loyalty Offer,2026-02-09T12:52:45.202Z,0,0
